T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2000,Percentage of individuals using the internet,5.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
1,"Total, all countries or areas",2005,Percentage of individuals using the internet,15.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
1,"Total, all countries or areas",2010,Percentage of individuals using the internet,28.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
1,"Total, all countries or areas",2015,Percentage of individuals using the internet,40.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
1,"Total, all countries or areas",2019,Percentage of individuals using the internet,53.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
1,"Total, all countries or areas",2020,Percentage of individuals using the internet,59.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
1,"Total, all countries or areas",2021,Percentage of individuals using the internet,62.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2005,Percentage of individuals using the internet,9.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2010,Percentage of individuals using the internet,23.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2015,Percentage of individuals using the internet,36.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2019,Percentage of individuals using the internet,56.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2020,Percentage of individuals using the internet,64.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
15,Northern Africa,2021,Percentage of individuals using the internet,70.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,16.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2019,Percentage of individuals using the internet,27.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2020,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
202,Sub-Saharan Africa,2021,Percentage of individuals using the internet,34.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2010,Percentage of individuals using the internet,3.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2015,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2019,Percentage of individuals using the internet,15.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2020,Percentage of individuals using the internet,17.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
14,Eastern Africa,2021,Percentage of individuals using the internet,20.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2005,Percentage of individuals using the internet,0.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2010,Percentage of individuals using the internet,2.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2015,Percentage of individuals using the internet,10.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2019,Percentage of individuals using the internet,22.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2020,Percentage of individuals using the internet,27.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
17,Middle Africa,2021,Percentage of individuals using the internet,27.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2000,Percentage of individuals using the internet,4.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2005,Percentage of individuals using the internet,7.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2010,Percentage of individuals using the internet,22.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2015,Percentage of individuals using the internet,49.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2019,Percentage of individuals using the internet,67.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2020,Percentage of individuals using the internet,68.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
18,Southern Africa,2021,Percentage of individuals using the internet,70.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2005,Percentage of individuals using the internet,2.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2010,Percentage of individuals using the internet,7.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2015,Percentage of individuals using the internet,18.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2019,Percentage of individuals using the internet,36.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2020,Percentage of individuals using the internet,42.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
11,Western Africa,2021,Percentage of individuals using the internet,48.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2000,Percentage of individuals using the internet,51.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2005,Percentage of individuals using the internet,68.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2010,Percentage of individuals using the internet,72.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2015,Percentage of individuals using the internet,76.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2019,Percentage of individuals using the internet,89.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2020,Percentage of individuals using the internet,90.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
21,Northern America,2021,Percentage of individuals using the internet,91.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,5.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2019,Percentage of individuals using the internet,67.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2020,Percentage of individuals using the internet,73.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
419,Latin America & the Caribbean,2021,Percentage of individuals using the internet,74.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2000,Percentage of individuals using the internet,3.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2010,Percentage of individuals using the internet,21.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2015,Percentage of individuals using the internet,38.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2019,Percentage of individuals using the internet,62.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2020,Percentage of individuals using the internet,65.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
29,Caribbean,2021,Percentage of individuals using the internet,67.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2000,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2005,Percentage of individuals using the internet,3.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2010,Percentage of individuals using the internet,18.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2015,Percentage of individuals using the internet,43.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2019,Percentage of individuals using the internet,62.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2020,Percentage of individuals using the internet,64.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
143,Central Asia,2021,Percentage of individuals using the internet,66.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2000,Percentage of individuals using the internet,5.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2005,Percentage of individuals using the internet,16.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2010,Percentage of individuals using the internet,39.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2015,Percentage of individuals using the internet,54.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2019,Percentage of individuals using the internet,67.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2020,Percentage of individuals using the internet,72.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
30,Eastern Asia,2021,Percentage of individuals using the internet,75.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2010,Percentage of individuals using the internet,7.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2015,Percentage of individuals using the internet,16.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2019,Percentage of individuals using the internet,32.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2020,Percentage of individuals using the internet,43.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
62,South-central Asia,2021,Percentage of individuals using the internet,46.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2000,Percentage of individuals using the internet,2.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2005,Percentage of individuals using the internet,8.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2019,Percentage of individuals using the internet,52.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2020,Percentage of individuals using the internet,58.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2021,Percentage of individuals using the internet,65.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
